"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"A̱os",2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"1",0,5740,0,0,164,623,0,826,1087,9088,2523,531,126,2456,1899,705
"2",8384,5101,10122,5,1445,279,3855,6454,3299,5533,6362,1280,22,1524,2101,3446
"3",7485,4181,6489,9488,6826,2887,3190,5252,4284,4603,739,2858,48,1218,1027,1959
"4",2008,4651,4329,13247,3397,2785,2151,1976,756,8,1715,61,74,145,15,93
"5",3410,7430,4823,9750,4686,3744,1193,300,1822,116,569,2425,495,483,326,222
"6",2760,4694,951,6553,1564,700,2160,637,1877,665,1698,1858,870,770,110,631
"7",3286,3027,282,4407,180,53,6521,618,2678,365,871,947,955,1431,465,327
"8",723,3718,13,1514,56,111,0,737,354,65,134,609,651,520,337,123
"9",367,17,34,88,143,21,0,240,43,42,37,91,688,20,87,0
"10",2885,1822,7046,0,0,14,3,220,175,59,62,103,61,182,80,0
"11",2822,4093,5954,1814,758,2027,4,1776,2722,66,86,913,1122,1056,3064,0
"12",1831,0,5035,2356,1006,3549,642,2715,3681,3100,3664,2456,3244,1464,4683,0
